student_id,last_name,first_name,city,state,country,program,graduation term,graduation year,phone_no_cell,phone_no_land,skill_1,skill_2,work_city,work_country,job_type,industry
tw3253,Woolerton,Tessy,Minneapolis,Minnesota,United States,Sustainability Science,Summer,2021,600-639-5191,321-969-8472,Product Knowledge,,Auburn Hills - MI,United States (USA),Postponing job search,Data/Technology
ae4257,Edgcombe,Adriaens,Boise,Idaho,United States,Nonprofit Management,Fall,2021,754-790-0611,,Creativity,,Chennai - India,India,Still Seeking Employment,Scientific Research
pg3091,Girardi,Phaedra,Scranton,Pennsylvania,United States,Nonprofit Management,Spring,2016,332-195-5165,,Scheduling,,Old Westbury - NY,United States (USA),Military Service,Governance
rt6370,Tolputt,Ruperto,Newport Beach,California,United States,Narrative Medicine,Summer,2016,482-623-1659,297-942-0505,Organization,,San Mateo - CA,United States (USA),Internship,Healthcare
aj7909,Jansey,Aridatha,Decatur,Georgia,United States,Sustainability Science,Spring,2022,828-523-0350,764-272-3322,Contract Negotiation,,Philadelphia - PA,United States (USA),Not seeking an internship,Data/Technology
ct7496,Turgoose,Cherri,Kingsport,Tennessee,United States,Strategic Communication,Fall,2017,755-621-4837,,Creativity,,Bethesda - MD,United States (USA),Graduate School,Finance & Investment
kb5221,Belsher,Kimberlee,Boise,Idaho,United States,Negotiation and Conflict Resolution,Summer,2020,141-374-8241,,QuickBooks,,Edinburgh - United Kingdom,United Kingdom,Other Intentions,Geospatial/Mapping
th7206,Hanscombe,Tobit,Birmingham,Alabama,United States,Wealth Management,Summer,2016,484-807-6743,157-166-8274,Referral Marketing,,New Delhi - India,India,Graduate School,Scientific Research
mk8948,Kleehuhler,Misty,Tulsa,Oklahoma,United States,Sports Management,Summer,2017,325-594-7461,285-727-2537,Decision Making,,Shanghai - China,China Mainland,Other Intentions,Finance & Investment
jm9051,Maleham,Jaye,Provo,Utah,United States,Construction Administration,Summer,2018,739-281-8241,,Empathy,,Englewood Cliffs - NJ,United States (USA),Graduate School,Lifestyle & Consumer
bf6339,Ferrarese,Berna,Scranton,Pennsylvania,United States,Nonprofit Management,Fall,2019,151-173-8294,,Critical Thinking,,Menlo Park - CA,United States (USA),Own Venture,Lifestyle & Consumer
rf7418,Forster,Rhody,Fresno,California,United States,Negotiation and Conflict Resolution,Summer,2020,861-601-0762,958-773-2550,Billing,,Seoul - South Korea,South Korea,Summer classes,Insurance
wc8347,Chappelle,Wenona,Cincinnati,Ohio,United States,Construction Administration,Summer,2022,775-608-4077,625-272-0521,Empathy,,Columbus - OH,United States (USA),Research,Food & Agriculture
kl5587,Lazenbury,Kira,Punta Gorda,Florida,United States,Human Capital Management,Spring,2020,966-650-3737,429-447-8226,Conflict Resolution,,Moorestown - NJ,United States (USA),Job,Energy
mg5160,Gossart,Melonie,Santa Cruz,California,United States,Nonprofit Management,Spring,2017,578-790-4692,560-120-2574,Decision Making,,Jerusalem - Israel,Israel,Service Organization,Aerospace and Defense
am3935,Marians,Amargo,London,Kentucky,United States,Sustainability Management,Spring,2021,669-886-3849,,Communication,,Dublin - Ireland,Ireland,Internship,Data/Technology
kp2750,Purseglove,Kennett,Des Moines,Iowa,United States,Human Capital Management,Summer,2019,647-651-4046,,Contract Negotiation,,Bangkok - Thailand,Thailand,Military Service,Lifestyle & Consumer
im9432,MacGillacolm,Isaiah,Fresno,California,United States,Enterprise Risk Management,Summer,2021,125-201-6969,406-995-9535,Welcoming Visitors,,Manila - Philippines,Philippines,Summer classes,Education
bs6078,Sabatier,Blane,Richmond,California,United States,Actuarial Science,Summer,2019,764-275-8822,,Leadership,,Miami - FL,United States (USA),Still Seeking Employment,Lifestyle & Consumer
oh9585,Hamberston,Olive,Greenville,South Carolina,United States,Wealth Management,Summer,2018,410-775-3460,,Product Knowledge,,Toronto - ON - Canada,Canada,Fellowship,Energy
sd8809,Daffern,Shelly,Beaufort,South Carolina,United States,Applied Analytics,Summer,2016,359-782-9316,,Salesforce,UX/UI,Hong Kong - China,China Mainland,Military Service,Data/Technology
cc7468,Craythorn,Celia,New York City,New York,United States,Negotiation and Conflict Resolution,Spring,2021,591-303-7508,620-175-5927,Adaptability,,Richardson - TX,United States (USA),Military Service,Environment & Weather
ds9555,Stobo,Deanna,Salt Lake City,Utah,United States,Actuarial Science,Summer,2017,371-364-8465,,Management,,Pittsburgh - PA,United States (USA),Still Seeking Internship,Environment & Weather
ma7167,Annies,Michaella,Clearwater,Florida,United States,Bioethics,Spring,2022,675-685-4299,446-688-5634,Conflict Resolution,,Milan - Italy,Italy,Postponing job search,Insurance
me1073,Esby,Masha,Cheyenne,Wyoming,United States,Actuarial Science,Spring,2019,965-902-5270,,Cashier Skills,,Manila - Philippines,Philippines,Job,Research & Consulting
lf4312,Fishleigh,Lindie,New York City,New York,United States,Information Knowledge Strategy,Spring,2016,919-128-8479,248-608-7626,Salesforce,,Fort Mill - SC,United States (USA),Job,Data/Technology
at7636,Terbrug,Alikee,San Francisco,California,United States,Construction Administration,Spring,2021,418-214-0803,,Creativity,,Toronto - ON - Canada,Canada,Postponing job search,Aerospace and Defense
dm4770,Miles,Dael,Torrance,California,United States,Strategic Communication,Fall,2020,705-172-4979,,Collaboration,,Jinan - China,China Mainland,Still Seeking Education,Business & Legal Services
ts1054,Snaddin,Thornton,Colorado Springs,Colorado,United States,Bioethics,Summer,2017,771-372-2646,520-564-4246,Adaptability,,Bronx - NY,United States (USA),Research,Lifestyle & Consumer
bd4421,Doutch,Berkie,Atlanta,Georgia,United States,Sports Management,Fall,2017,807-992-1924,563-155-4171,Referral Marketing,,Tulsa - OK,United States (USA),Postponing job search,Education
lh4154,Harsnep,Luci,South Bend,Indiana,United States,Technology Management,Summer,2018,103-586-9753,,Communication,,Hoboken - NJ,United States (USA),Postponing job search,Energy
ww6116,Whitaker,Wilfrid,Madison,Wisconsin,United States,Enterprise Risk Management,Spring,2016,993-391-8352,193-362-4452,Billing,,Bethesda - MD,United States (USA),Internship,Media
lg1154,Glavis,Lonee,Shreveport,Louisiana,United States,Wealth Management,Summer,2018,575-241-9038,,Problem Solving,,Glastonbury - CT,United States (USA),Postponing job search,Education
ad4252,Dowyer,Aurea,Miami,Florida,United States,Negotiation and Conflict Resolution,Summer,2019,465-330-1030,,Critical Thinking,,Arlington - VA,United States (USA),Graduate School,Business & Legal Services
db3643,Beauchamp,Dulsea,Boston,Massachusetts,United States,Narrative Medicine,Fall,2018,610-624-9358,469-805-4702,Management,,Stamford - CT,United States (USA),Internship,Environment & Weather
gn6268,Naper,Georgena,Cincinnati,Ohio,United States,Construction Administration,Fall,2018,647-528-4995,,Billing,,Saint Petersburg - FL,United States (USA),Fellowship,Business & Legal Services
ch5716,Hayth,Corrie,Erie,Pennsylvania,United States,Bioethics,Spring,2018,199-715-9751,342-408-6339,Adaptability,,Shanghai - China,China Mainland,Postponing job search,Scientific Research
el1970,Lukock,Ev,Cincinnati,Ohio,United States,Technology Management,Spring,2018,820-185-4880,,Collaboration,,Philadelphia - PA,United States (USA),Job,Environment & Weather
dj5391,Jeakins,Devinne,Greeley,Colorado,United States,Construction Administration,Fall,2019,718-116-5020,481-849-4889,Contract Negotiation,,Menlo Park - CA,United States (USA),Still Seeking Employment,Lifestyle & Consumer
gd9560,Dyett,Gloria,Chicago,Illinois,United States,Applied Analytics,Fall,2017,946-765-8832,725-238-9314,Collaboration,Data Structures,West Orange - NJ,United States (USA),Graduate School,Healthcare
cr2972,Rodrigo,Clemmy,Vancouver,Washington,United States,Information Knowledge Strategy,Summer,2019,662-222-9981,927-718-3050,Shipping,,Norfolk - VA,United States (USA),Still Seeking Education,Transportation
pm6312,McAuslan,Pascal,Milwaukee,Wisconsin,United States,Technology Management,Spring,2017,234-144-1111,,Lead Qualification,,Puerto Real - PR,United States (USA),Still Seeking Education,Housing/Real Estate
te2737,Entissle,Terrance,Savannah,Georgia,United States,Sustainability Science,Spring,2017,973-137-6116,,Product Knowledge,,Bethesda - MD,United States (USA),Research,Housing/Real Estate
sc2579,Coton,Stanwood,Tallahassee,Florida,United States,Nonprofit Management,Spring,2019,811-661-7738,,Creativity,,Fort Mill - SC,United States (USA),Not seeking an internship,Research & Consulting
gg3797,Gliddon,Glen,Independence,Missouri,United States,Applied Analytics,Spring,2016,799-863-9751,199-345-6259,Referral Marketing,Cloud Management,Edison - NJ,United States (USA),Still Seeking Education,Finance & Investment
ac7306,Coare,Auguste,Madison,Wisconsin,United States,Sustainability Management,Fall,2017,357-737-9798,603-945-4347,Adaptability,,Bethesda - MD,United States (USA),Research,Transportation
pr9969,Ransbury,Pippy,Atlanta,Georgia,United States,Technology Management,Fall,2020,506-271-1787,,Referral Marketing,,Moorestown - NJ,United States (USA),Not seeking an internship,Aerospace and Defense
ab8233,Bicheno,Allianora,Springfield,Illinois,United States,Wealth Management,Fall,2021,392-638-1094,,Contract Negotiation,,Tokyo - Japan,Japan,Own Venture,Governance
hm8492,MacLaig,Haven,Washington,District of Columbia,United States,Nonprofit Management,Summer,2016,195-270-4831,475-776-9956,Adaptability,,Herndon - VA,United States (USA),Postponing job search,Healthcare
gn6268,Naper,Georgena,Cincinnati,Ohio,United States,Construction Administration,Fall,2018,647-528-4995,,Billing,,Pittsburgh - PA,United States (USA),Fellowship,Food & Agriculture
bb5081,Broster,Benita,Santa Fe,New Mexico,United States,Sports Management,Summer,2017,885-340-3989,345-288-3440,Microsoft Offices,,New Delhi - India,India,Still Seeking Education,Transportation
cm5198,MacNucator,Charisse,Toledo,Ohio,United States,Sports Management,Summer,2020,823-600-9679,908-787-2026,Billing,,Seattle - WA,United States (USA),Still Seeking Education,Data/Technology
gl1743,Ledington,Gavan,Saint Paul,Minnesota,United States,Technology Management,Fall,2020,690-559-4391,762-451-5748,Billing,,Miami - FL,United States (USA),Own Venture,Aerospace and Defense
eb8926,Brunsen,Ezequiel,Akron,Ohio,United States,Sports Management,Fall,2016,304-341-6182,581-687-8065,Active Listening,,San Francisco - CA,United States (USA),Job,Aerospace and Defense
cd8702,Davidowich,Carlita,Roanoke,Virginia,United States,Bioethics,Summer,2018,974-356-1720,747-799-6450,Empathy,,Washington - DC,United States (USA),Internship,Housing/Real Estate
ai8841,Iacovuzzi,Anallese,Evansville,Indiana,United States,Actuarial Science,Summer,2022,294-194-3375,,Management,,White Plains - NY,United States (USA),Graduate School,Governance
as2261,Shark,Aldo,Baltimore,Maryland,United States,Enterprise Risk Management,Fall,2018,905-103-2463,401-766-8775,Customer Service,,Hoboken - NJ,United States (USA),Internship,Lifestyle & Consumer
am2033,Mansuer,Archie,Brooklyn,New York,United States,Sustainability Management,Summer,2017,149-928-3075,,Shipping,,Kansas City - KS,United States (USA),Fellowship,Governance
jn8938,Normington,Jewelle,Grand Rapids,Michigan,United States,Applied Analytics,Spring,2016,973-684-8857,,Self Motivation,Google Analytics,Pittsburgh - PA,United States (USA),Still Seeking Education,Aerospace and Defense
jn4744,Newey,Jarvis,Shreveport,Louisiana,United States,Negotiation and Conflict Resolution,Fall,2017,402-732-0623,,Office Equipment,,New York - NY,United States (USA),Job,Research & Consulting
as7799,Silly,Ansley,Hampton,Virginia,United States,Nonprofit Management,Fall,2016,363-604-2829,,Lead Qualification,,Williamsport - PA,United States (USA),Still Seeking Internship,Education
pe8184,Eite,Perice,Pasadena,California,United States,Enterprise Risk Management,Summer,2017,396-208-6988,895-928-5618,Empathy,,Los Angeles - CA,United States (USA),Not seeking an internship,Environment & Weather
hi2049,Iorio,Hazel,Toledo,Ohio,United States,Sustainability Management,Fall,2018,437-185-3894,326-712-5940,Public Speaking,,Mountainside - NJ,United States (USA),Military Service,Food & Agriculture
mb1024,Boick,Madel,Dallas,Texas,United States,Nonprofit Management,Fall,2019,704-463-0837,585-300-9601,Presentation,,New Delhi - India,India,Fellowship,Research & Consulting
gf9718,Fehner,Graig,Cheyenne,Wyoming,United States,Technology Management,Fall,2020,573-983-1733,,Lead Prospecting ,,Beirut - Lebanon,Lebanon,Job,Aerospace and Defense
js2989,Silbersak,Jo,Brooklyn,New York,United States,Negotiation and Conflict Resolution,Fall,2016,318-182-1847,765-651-7092,Microsoft Offices,,Tulsa - OK,United States (USA),Research,Insurance
aa1593,Abreheart,Alphonso,South Bend,Indiana,United States,Sustainability Management,Spring,2020,912-333-1380,,Leadership,,Lake Worth - FL,United States (USA),Own Venture,Transportation
kf4345,Fain,Krispin,Lexington,Kentucky,United States,Information Knowledge Strategy,Spring,2016,137-898-6091,563-307-3671,Customer Service,,Salt Lake City - UT,United States (USA),Internship,Scientific Research
ac4719,Cassar,Adora,Washington,District of Columbia,United States,Construction Administration,Summer,2020,294-653-6960,,Welcoming Visitors,,Woodlawn - MD,United States (USA),Internship,Aerospace and Defense
hm8492,MacLaig,Haven,Washington,District of Columbia,United States,Nonprofit Management,Summer,2016,195-270-4831,475-776-9956,Adaptability,,Bogota - Colombia,Colombia,Postponing job search,Healthcare
br7915,Rosendahl,Bev,Baton Rouge,Louisiana,United States,Bioethics,Fall,2017,877-298-9298,650-505-9302,Cashier Skills,,Liaocheng - China,China Mainland,Own Venture,Healthcare
dg9792,Grier,Dyann,Bronx,New York,United States,Construction Administration,Fall,2017,118-657-2468,,Self Motivation,,Ewing - NJ,United States (USA),Summer classes,Governance
