mentorship_date,student_id,student_firstname,student_lastname,alumni_id,alumni_lastname,alumni_firstname,alumni_program,alumni_job_industry,alumni_phone_no_cell,alumni_phone_no_land,alumni_skill_1,alumni_skill_2
2017-01-02,hc3237,Hagan,Cable,nk7657,Kurt,Neal,Information Knowledge Strategy,Environment & Weather,905-951-5322,,Scheduling,
2016-11-29,sl4152,Sayer,Lissandre,cr8605,Rosie,Cunningham,Human Capital Management,Media,750-933-3580,141-652-9789,Negotiation,
2019-04-22,gl4274,Gilberte,Leebeter,le5799,Elle,Long,Sustainability Management,Research & Consulting,713-952-0376,,Office Equipment,
2019-07-05,bs7868,Brier,Spinetti,eo6439,Oliver,Edwards,Sports Management,Media,643-753-4622,,Negotiation,
2017-04-27,ga2856,Goddard,Alcide,pl5399,Logan,Price,Applied Analytics,Finance & Investment,294-879-8447,874-429-3715,Welcoming Visitors,Java
2022-04-07,cl2862,Claiborn,Langstrath,jr7218,Rosalyn,Johnson,Sustainability Management,Finance & Investment,765-767-4252,,Lead Qualification,
2016-05-29,cs9514,Corby,Stretton,vh5628,Harry,Ventura,Sports Management,Governance,919-214-9720,911-105-5872,Negotiation,
2021-01-17,tg5136,Tommy,Giacovazzo,pl5399,Logan,Price,Applied Analytics,Finance & Investment,294-879-8447,874-429-3715,Welcoming Visitors,Java
2016-04-14,le6070,Loreen,Ennals,vt1529,Teagan,Villiger,Human Capital Management,Data/Technology,916-795-1144,533-746-4116,Communication,Machine Learning
2016-04-22,lf4312,Lindie,Fishleigh,hm7100,Mary,Harrington,Enterprise Risk Management,Media,946-878-9892,,Empathy,
2020-08-11,gb6225,Gabriel,Boxhill,pe4593,Elise,Patel,Construction Administration,Governance,240-849-6971,,Accounting,
2020-02-14,mw9706,Merissa,Walisiak,pe4593,Elise,Patel,Construction Administration,Governance,240-849-6971,,Accounting,
2018-09-23,gb9990,Giffard,Breslauer,mb6076,Bryon,Mason,Wealth Management,Education,517-338-4892,,Customer Needs Analysis,
2020-01-29,cf3122,Carla,Fitchett,ss1224,Sharon,Simmons,Information Knowledge Strategy,Data/Technology,910-252-8326,,Product Knowledge,R
2020-04-19,td6442,Theodore,Duinbleton,ds9033,Sofia,Dale,Wealth Management,Transportation,808-174-2639,,Data Entry,
2020-04-07,jd3659,Johnette,Domingues,wp4003,Peter,Walsh,Actuarial Science,Lifestyle & Consumer,168-303-3179,,Negotiation,
2020-04-23,vp8113,Viviyan,Polglaze,ae4475,Eve,Alldridge,Wealth Management,Insurance,268-136-1630,,Lead Prospecting ,
2017-03-31,aa2072,Alvie,Akid,vt1529,Teagan,Villiger,Human Capital Management,Data/Technology,916-795-1144,533-746-4116,Communication,Machine Learning
2019-09-12,am2714,Ailbert,MacGillacolm,oe7927,Emma,Oliver,Bioethics,Governance,821-189-3311,,Management,
2017-03-12,td2838,Tam,Delacroix,oe7927,Emma,Oliver,Bioethics,Governance,821-189-3311,,Management,
2021-01-23,lk3272,Lorianna,Kolin,sn9731,Nicholas,Saunders,Technology Management,Food & Agriculture,899-601-6072,669-649-7674,Organization,
2021-11-23,pc9978,Page,Crooke,bj7054,Jackeline,Brown,Insurance Management,Housing/Real Estate,134-532-3258,181-403-1838,Product Knowledge,
2015-04-24,dk4857,Deane,Kennerknecht,ss1224,Sharon,Simmons,Information Knowledge Strategy,Data/Technology,910-252-8326,,Product Knowledge,R
2018-08-20,sh8103,Stefania,Houldcroft,vt1529,Teagan,Villiger,Human Capital Management,Data/Technology,916-795-1144,533-746-4116,Communication,Machine Learning
2017-03-02,cb9723,Calv,Brownstein,oe7927,Emma,Oliver,Bioethics,Governance,821-189-3311,,Management,
2017-01-27,dt2731,Dario,Toogood,lt2316,Tom,Larkin,Wealth Management,Transportation,940-809-6751,,Leadership,
2014-08-10,bd4789,Bambie,Duligal,kr2301,Rachael,Khan,Bioethics,Research & Consulting,768-317-1146,,Data Entry,
2018-06-15,cr9771,Cecily,Richardon,eo6439,Oliver,Edwards,Sports Management,Media,643-753-4622,,Negotiation,
2018-01-13,ab8028,Ainslee,Bastie,hm7100,Mary,Harrington,Enterprise Risk Management,Media,946-878-9892,,Empathy,
2018-08-19,cw8464,Christian,Willavoys,aa6055,Aeris,Avery,Construction Administration,Food & Agriculture,331-264-5999,,Contract Negotiation,
2015-07-19,mt2524,Marta,Thacke,tj8264,John,Thorne,Sustainability Management,Governance,877-204-6276,484-930-2160,Billing,
2020-02-13,kn1273,Karola,Niesing,ds9033,Sofia,Dale,Wealth Management,Transportation,808-174-2639,,Data Entry,
2017-04-14,mc7986,Marnie,Castanos,ha7255,Alessandra,Harper,Sustainability Management,Housing/Real Estate,355-178-2781,,Customer Service,
2021-05-19,bj1369,Brigida,Jumonet,dm8372,Maddison,Dickson,Sustainability Management,Lifestyle & Consumer,935-171-1800,393-839-8956,Scheduling,
2016-12-15,nd6162,Nanine,Devereu,ss1224,Sharon,Simmons,Information Knowledge Strategy,Data/Technology,910-252-8326,,Product Knowledge,R
2017-10-10,lk6589,Lynn,Kitchenside,tj8264,John,Thorne,Sustainability Management,Governance,877-204-6276,484-930-2160,Billing,
2020-10-21,pw7347,Prue,Wickman,ha7255,Alessandra,Harper,Sustainability Management,Housing/Real Estate,355-178-2781,,Customer Service,
2015-05-13,hf4514,Howard,Fassbender,hd4260,Danny,Hale,Sustainability Science,Healthcare,916-934-9218,748-555-1548,Office Equipment,
2019-03-03,el1328,Elysee,Leemans,lh6514,Harvey,Lynch,Negotiation and Conflict Resolution,Transportation,387-170-5980,,Data Entry,
2015-05-01,iv2594,Iggie,Vardey,va8834,Adalind,Vass,Narrative Medicine,Education,231-989-5471,,Office Equipment,
2018-03-30,tg3809,Timothea,Gibbard,sm3807,Mya,Stewart,Construction Administration,Governance,214-712-8023,343-159-1311,Accounting,
2018-07-05,rc7465,Ralina,Caistor,hj7691,Judith,Hopkins,Sustainability Management,Food & Agriculture,184-142-6248,,Product Knowledge,
2019-08-29,av7272,Aluin,Vitet,va8834,Adalind,Vass,Narrative Medicine,Education,231-989-5471,,Office Equipment,
